epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.197,3.08004,3.96922,1.00782,0.31616,0.27764,0.18169,0.04824,2.87986,2.69947,0.94693,0.000475555,0.000475555,0.000475555
2,271.698,2.81613,2.82598,0.93585,0.35524,0.35344,0.25917,0.07819,2.69404,2.36071,0.91281,0.000857651,0.000857651,0.000857651
3,384.6,2.72967,2.45297,0.91556,0.46366,0.3697,0.31081,0.09497,2.66282,2.08364,0.91295,0.00114543,0.00114543,0.00114543
4,498.571,2.62603,2.21371,0.91013,0.47678,0.39208,0.33863,0.1053,2.57406,2.0041,0.90603,0.00100459,0.00100459,0.00100459
5,612.174,2.57765,2.09399,0.89775,0.48801,0.4117,0.3755,0.12089,2.49824,1.82582,0.89218,0.000863116,0.000863116,0.000863116
6,725.844,2.53421,1.96491,0.8933,0.505,0.43751,0.39903,0.13141,2.4436,1.7545,0.88542,0.000721645,0.000721645,0.000721645
7,844.972,2.4482,1.85456,0.87983,0.53379,0.45847,0.43031,0.14769,2.41113,1.66868,0.88517,0.000580174,0.000580174,0.000580174
8,973.668,2.41877,1.74778,0.88441,0.53927,0.45859,0.43763,0.14767,2.38725,1.62221,0.88387,0.000438703,0.000438703,0.000438703
9,1096.33,2.33982,1.66654,0.86834,0.53195,0.46437,0.43868,0.15357,2.35346,1.54611,0.88261,0.000297232,0.000297232,0.000297232
10,1233.05,2.3012,1.62861,0.8634,0.56743,0.45714,0.46026,0.16345,2.31233,1.52565,0.87343,0.000155761,0.000155761,0.000155761
